 - 12
families - 23
family - 86
familymeetings - 0
far - 41
farm - 0
farther - 2
farthing - 0
fascinate - 0
fashion - 0
fatal - 0
father - 29
fathers - 10
fault - 11
faults - 6
faulty - 0
favour - 7
favourable - 3
favourably - 0
favourers - 2
favouring - 0
favours - 0
fear - 19
feared - 0
fearful - 0
fears - 2
feast - 0
feature - 0
federal - 2
fee - 8
feed - 0
feel - 3
fees - 4
feet - 3
felicity - 0
fell - 5
fellow - 0
fellowcitizens - 4
fellowmagistrates - 0
female - 9
females - 2
festal - 0
festival - 0
few - 97
fewer - 4
fiddlers - 0
fidelity - 3
field - 2
fields - 0
fierce - 2
fifteen - 3
fifth - 4
fifthly - 0
fifty - 3
fiftyeight - 0
fight - 5
file - 2
files - 2
fill - 9
filled - 6
filling - 0
fills - 3
final - 11
finally - 2
finances - 2
financial - 0
find - 32
finds - 4
fine - 9
fined - 4
finer - 0
fines - 3
finger - 0
fining - 2
finished - 4
firm - 4
firmly - 0
firmness - 0
first - 208
fish - 0
fishermen - 2
fishing - 2
fit - 18
fitly - 2
fitness - 0
fitted - 4
fittest - 3
fitting - 0
five - 22
fivefold - 0
fix - 10
fixed - 10
fixing - 0
flagitious - 0
flat - 0
flatter - 6
flattered - 3
flatterer - 2
flatterers - 4
flattering - 0
fleet - 0
flesh - 5
flew - 0
flies - 2
flocks - 0
flourish - 0
flourished - 0
flow - 2
flowing - 2
fluctuate - 0
flute - 12
flutemakers - 0
flutes - 0
follow - 32
followed - 6
following - 6
follows - 29
fond - 0
food - 13
foot - 7
footing - 0
for - 1911
forbade - 2
forbearance - 0
forbid - 9
forbidden - 2
forbidding - 0
forbids - 2
force - 22
forced - 2
forces - 5
forefathers - 2
foreign - 10
foreigners - 12
forethought - 2
forfeitures - 2
forgot - 0
forgotten - 0
form - 84
format - 4
formation - 2
formats - 2
formect - 0
formed - 20
former - 18
formerly - 23
formidable - 2
forming - 0
forms - 26
forsakes - 0
forth - 10
fortifications - 0
fortified - 2
fortitude - 3
fortune - 51
fortunes - 14
fortyfour - 0
forum - 0
forward - 4
foul - 0
foulness - 0
found - 45
foundation - 27
foundations - 4
founded - 28
founders - 5
founding - 7
fountain - 3
fountains - 0
four - 23
fourfold - 0
fourth - 18
fourthly - 0
fowlers - 0
frame - 11
framed - 15
framers - 0
frames - 0
framework - 0
framing - 3
fraternities - 0
fraud - 4
free - 95
freeborn - 2
freed - 0
freedmen - 0
freedom - 21
freely - 4
freeman - 11
freemen - 31
freewoman - 2
freight - 0
french - 2
frequent - 6
frequently - 6
fresh - 0
friend - 12
friends - 20
friendship - 12
friendships - 0
from - 533
fronts - 0
fruit - 3
fruits - 5
fulfil - 0
full - 19
fully - 3
fund - 0
furlongs - 0
furnish - 8
furnished - 3
furnishing - 0
further - 13
future - 5
g - 7
gain - 12
gained - 12
gainful - 4
gaining - 2
galleys - 0
games - 4
gaster - 0
gates - 0
gathering - 0
gauls - 0
gave - 18
gbnewbypglaforg - 0
gela - 0
gelo - 2
gelon - 2
gelons - 0
gelos - 0
general - 128
generality - 13
generally - 14
generals - 6
generalship - 0
generations - 2
generosity - 0
generous - 2
genius - 3
gentle - 4
gentlemen - 2
genus - 2
geometricians - 0
geometry - 0
georgias - 2
german - 2
get - 22
getting - 9
gift - 2
gifts - 0
gillies - 4
give - 44
given - 26
gives - 17
giving - 6
glad - 0
gladly - 0
glorious - 0
glory - 2
gluttonous - 0
go - 21
goals - 0
god - 6
goddess - 0
gods - 21
goes - 3
going - 2
gold - 2
golden - 0
gone - 6
good - 193
goodness - 2
goods - 21
gorgias - 0
gortyna - 0
got - 8
govern - 57
governed - 70
governing - 8
government - 400
governmentfor - 0
governments - 92
governor - 8
governors - 11
governs - 11
graceful - 0
gradually - 0
grandfather - 0
grant - 3
granted - 3
granting - 0
grasp - 0
gratefully - 0
gratify - 3
great - 107
greater - 51
greatest - 26
greatgrandfather - 0
greatly - 15
greatness - 5
grecian - 0
grecians - 3
greece - 8
greedy - 0
greek - 14
greeks - 8
gregory - 0
grew - 4
grief - 4
grievously - 0
gross - 0
grote - 0
ground - 2
grounds - 4
group - 0
grow - 7
growing - 0
grown - 3
grows - 2
growth - 6
growthas - 0
grynaeus - 0
guard - 8
guarded - 4
guardian - 5
guardians - 8
guardianship - 2
guards - 13
guide - 0
guided - 4
guides - 0
guilt - 0
guilty - 17
gulf - 0
gutenberg - 30
gutenbergtm - 56
gutenbergtms - 0
gymnastic - 21
h - 7
habit - 10
habitable - 0
habitation - 0
habitations - 2
habits - 4
had - 77
half - 11
hall - 0
halter - 0
hamilton - 0
hammond - 2
hand - 22
handbook - 0
handicraftsmen - 0
handle - 0
hands - 52
handsome - 0
handsomer - 0
hanged - 0
haphazard - 0
happen - 57
happened - 19
happens - 22
happiest - 8
happily - 7
happiness - 32
happy - 42
harassed - 0
harbours - 3
hard - 7
harder - 0
hardly - 4
hardships - 0
hardy - 0
hares - 0
harmless - 3
harmodius - 2
harmodiuss - 0
harmonies - 3
harmonious - 0
harmony - 16
harp - 0
harsh - 0
hart - 2
has - 208
hastily - 0
hatch - 2
hate - 6
hath - 0
hating - 0
hatred - 12
haughtily - 0
haughtiness - 2
haughty - 0
have - 718
having - 61
hazard - 0
hazardous - 0
he - 465
head - 7
headed - 0
headstrong - 0
healing - 2
health - 10
healthful - 0
healthy - 3
hear - 11
heard - 3
hearing - 5
hears - 0
heart - 3
heat - 0
heaven - 0
heavy - 0
heavyarmed - 6
hebrew - 0
height - 2
heighten - 0
heir - 2
heiresses - 0
heirs - 0
held - 11
helen - 0
helisea - 0
helm - 0
helots - 5
help - 9
hence - 28
heniochi - 0
her - 14
heraclea - 7
heracleodorus - 0
heraclitus - 0
herald - 0
heralds - 0
hercules - 2
herding - 0
herds - 0
herdsmen - 3
here - 20
hereafter - 11
hereditary - 7
herein - 2
herile - 6
heritage - 0
herodotus - 2
heroes - 2
heroic - 3
hersea - 0
herself - 2
herwerden - 0
hesiod - 2
hestiaea - 0
hicks - 2
hiero - 4
high - 10
higher - 12
highest - 8
highly - 2
highspirited - 2
highways - 2
him - 124
himself - 52
hinder - 2
hindered - 0
hinders - 2
hinting - 0
hippocrates - 0
hippodamus - 4
hippodamuss - 0
hire - 0
hired - 11
his - 369
historia - 2
historical - 0
histories - 0
history - 4
hit - 0
hitherto - 0
hoarded - 2
hobbes - 2
hold - 12
holder - 4
holding - 0
holds - 10
holy - 2
home - 4
homer - 9
homicide - 0
homogalaktes - 0
homogeneous - 0
homokapnoi - 0
homosipuoi - 0
honorary - 0
honour - 21
honourable - 18
honourably - 0
honoured - 3
honours - 42
hook - 0
hope - 3
horse - 14
horsemen - 3
horses - 3
hospitality - 0
host - 0
hostile - 0
hot - 0
hour - 0
hours - 2
house - 13
household - 2
houses - 5
how - 148
however - 14
httpgutenbergorglicense - 0
httppglaforg - 2
httppglaforgdonate - 0
httppglaforgfundraising - 0
httpwwwgutenbergorg - 2
httpwwwpglaforg - 0
human - 13
humane - 0
humanity - 0
humours - 0
hundred - 18
hundreds - 0
hung - 0
hunger - 2
hungry - 0
hunt - 0
hunter - 0
hunters - 2
hunting - 3
hurt - 0
hurtful - 14
hurts - 0
husband - 2
husbanda - 0
husbandman - 12
husbandmans - 0
husbandmen - 38
husbandry - 6
husbands - 2
hypertext - 0
hypocrisy - 0
hypothesis - 2
hypparinus - 0
i - 130
iambics - 0
iapigia - 0
ib - 0
iberians - 2
ideal - 25
idealism - 4
idealist - 0
ideals - 2
ideas - 0
identification - 0
identify - 0
idiot - 0
idle - 2
idleness - 2
idlest - 0
ids - 0
if - 427
ignoble - 3
ignorance - 4
ii - 15
iii - 11
ill - 15
illegal - 4
illegality - 0
illegally - 4
illiberal - 4
ills - 0
illtreatment - 0
illused - 2
illustrious - 0
imaginable - 4
imaginary - 3
imagination - 0
imagine - 0
imagined - 2
imagining - 2
imitate - 3
imitated - 0
imitates - 0
imitation - 4
imitations - 4
immanuel - 0
immeasurable - 2
immediate - 3
immediately - 8
immisch - 0
immortal - 2
immutable - 3
impart - 2
imparted - 0
impartially - 0
imparting - 0
impatient - 2
impede - 0
impeded - 0
impediment - 0
impeding - 0
impels - 0
impending - 2
imperceptible - 0
imperfect - 14
imperfection - 2
impertinent - 0
impetus - 0
impious - 2
impleaded - 0
implements - 0
implied - 3
impolitic - 0
import - 2
importance - 5
important - 0
imports - 2
importunity - 0
impose - 0
imposed - 3
impossible - 42
impracticable - 3
impregnated - 0
improper - 13
improperly - 2
improve - 8
improvement - 3
improvements - 0
improves - 0
improving - 2
impulse - 0
imputed - 0
in - 2254
inaccurate - 0
inactive - 0
inanimate - 0
inasmuch - 0
incapable - 7
incestuous - 0
incident - 0
incidental - 0
incidents - 0
inclination - 3
inclinations - 0
incline - 9
inclined - 3
inclines - 9
inclining - 0
include - 5
included - 7
includes - 4
including - 9
income - 0
incomplete - 3
inconclusive - 0
inconsistent - 2
inconvenience - 7
inconveniences - 7
inconvenient - 0
increase - 22
increased - 6
increases - 2
increasing - 7
incumbent - 0
indecent - 0
indeed - 85
indemnify - 0
indemnityyou - 0
independency - 2
independent - 2
indeterminate - 3
index - 3
india - 0
indicate - 0
indicating - 0
indictment - 0
indictments - 0
indifferent - 2
indigent - 0
indirect - 0
indirectly - 0
indiscriminate - 0
individual - 40
individuals - 17
induce - 5
induced - 4
induces - 2
indued - 0
indulge - 2
indulged - 2
indulgence - 5
indulgent - 2
indulging - 2
industry - 2
ineffectualness - 0
inept - 0
inequality - 10
infamous - 5
infamy - 0
infant - 0
infantry - 2
infants - 0
inferior - 21
inferiors - 5
infinite - 2
infirm - 0
inflame - 0
inflicted - 0
influence - 16
influenced - 2
influences - 0
influencing - 0
inform - 2
information - 9
informed - 2
informers - 0
informing - 0
informs - 0
infringement - 0
ingeniously - 0
ingenuous - 0
ingram - 0
ingredients - 0
inhabit - 8
inhabitants - 30
inhabited - 4
inhabits - 0
inhere - 0
inherit - 0
inheritance - 0
iniquity - 0
injure - 3
injured - 3
injuries - 2
injuring - 2
injurious - 2
injury - 6
injustice - 9
innovation - 2
innovations - 6
innovators - 0
inquire - 23
inquired - 4
inquires - 0
inquiries - 2
inquiring - 4
inquiry - 17
inquisitive - 0
inroad - 0
inroads - 2
insatiable - 2
insensible - 0
insensibly - 0
inseparable - 2
insight - 0
insinuations - 0
insist - 5
insisted - 0
insisting - 0
insists - 2
insolence - 3
insolent - 2
inspect - 3
inspection - 0
inspectors - 4
inspire - 9
inspiring - 0
instability - 0
instance - 55
instances - 8
instead - 10
instil - 0
institute - 0
instituted - 3
institution - 3
institutions - 5
instruct - 6
instructed - 13
instruction - 12
instructions - 0
instructive - 0
instrument - 16
instruments - 17
insult - 3
insulted - 2
insulting - 3
insurrection - 2
insurrections - 4
integral - 0
intellectual - 2
intelligence - 3
intelligences - 0
intelligible - 2
intemperate - 2
intended - 20
intending - 0
intends - 3
intent - 0
intention - 11
intentional - 0
intentions - 0
intercommunity - 0
intercourse - 11
intercourses - 0
interest - 3
interesting - 0
interestmoney - 0
interests - 2
interfere - 2
interfering - 0
intermarried - 0
intermarry - 0
internal - 3
international - 0
interposition - 0
interpreted - 0
interval - 0
intervened - 0
intestate - 0
into - 195
intrigues - 0
intrinsic - 0
introduce - 2
introduced - 12
introduces - 0
introducing - 2
introduction - 8
introductory - 3
intrusted - 0
inured - 0
invade - 2
invader - 0
invaders - 0
invalidity - 0
invasion - 0
invasions - 0
invent - 2
invented - 2
inventress - 0
invest - 0
invested - 3
investigation - 0
invincible - 0
invites - 0
involuntary - 2
involve - 0
ioa - 0
ionia - 2
ionian - 0
iphiades - 0
iron - 5
irrational - 0
irregularities - 0
irresistible - 0
irs - 0
is - 2444
island - 7
islands - 0
isle - 0
isles - 0
issue - 2
ister - 2
it - 1604
italians - 0
italus - 2
italy - 5
itfor - 0
its - 155
itself - 54
iv - 12
ix - 6
j - 19
jardines - 0
jason - 0
jasons - 0
jebb - 0
jelf - 0
jest - 0
jh - 0
join - 9
joined - 16
joining - 4
jointly - 2
journey - 2
jowett - 0
joy - 3
judge - 33
judged - 2
judges - 41
judgment - 17
judgments - 2
judicial - 10
june - 0
jupiter - 4
jurisdiction - 3
jurisdictions - 2
juryman - 2
jurymans - 0
jurymen - 3
just - 78
juster - 0
justest - 0
justice - 49
justifiable - 0
justly - 20
kaibel - 0
keep - 11
keepers - 0
keeping - 5
keeps - 0
kenyon - 2
kenyons - 0
kept - 11
kill - 2
killed - 11
killers - 0
kills - 0
kind - 8
kindness - 0
kinds - 4
king - 37
kingdom - 18
kingdoms - 6
kingly - 49
kings - 34
kingship - 0
knew - 3
knights - 0
knotty - 0
know - 48
knowing - 5
knowledge - 31
known - 13
knows - 3
kosmoi - 10
laborious - 2
labour - 37
labourers - 0
labours - 4
lacedaemon - 22
lacedaemonian - 16
lacedaemonians - 30
lacedaemonwell - 0
lacedamonian - 0
lacedasmon - 0
lacedasmonian - 0
lacedemonians - 2
laid - 13
lake - 0
lakes - 0
lametic - 0
land - 20
landed - 4
landmarks - 0
lands - 8
lang - 0
language - 3
languid - 2
lapygi - 0
large - 54
largeness - 3
larger - 7
larissa - 2
larisssean - 0
larissseanmaker - 0
last - 28
lasting - 2
lastmentioned - 0
late - 0
lately - 7
later - 5
latin - 3
latter - 17
laver - 0
law - 120
lawful - 2
lawgiver - 8
lawgivers - 2
lawless - 0
lawmaking - 3
laws - 164
lawsuits - 0
lay - 5
laying - 4
lays - 0
lazy - 2
lead - 11
leader - 0
leads - 0
leaky - 0
learn - 28
learned - 3
learning - 5
learns - 0
learnt - 4
least - 27
leave - 5
leaves - 0
leaving - 2
led - 2
leeuwen - 0
left - 10
legal - 5
legality - 0
legally - 3
legislation - 0
legislative - 0
legislator - 69
legislators - 13
legislature - 0
legitimately - 0
leisure - 23
lemnian - 0
length - 2
lent - 0
leontini - 0
leontium - 2
lesbians - 0
less - 39
lessen - 0
lesser - 0
lesson - 0
lest - 2
let - 85
letter - 0
letting - 0
leucadians - 0
level - 5
levelling - 0
levied - 0
lewes - 0
liability - 3
liable - 16
liberal - 7
liberality - 4
liberally - 2
liberties - 4
liberty - 24
library - 11
license - 15
licensed - 0
licentiousness - 2
lie - 2
lies - 7
lieu - 2
life - 143
light - 8
lightarmed - 4
lighter - 0
like - 87
likely - 12
likeness - 5
likes - 4
likewise - 0
limbs - 0
limit - 2
limitation - 3
limited - 8
limits - 5
lindsay - 0
line - 4
lineage - 0
linked - 0
links - 3
lions - 2
list - 2
listeners - 0
literary - 13
little - 55
live - 80
lived - 5
lives - 15
living - 25
livings - 0
load - 0
located - 4
locations - 2
locks - 0
locrian - 0
locrians - 5
lodged - 12
lofty - 0
london - 0
long - 25
longer - 15
look - 6
looking - 0
looks - 4
loose - 2
lord - 3
lose - 3
loses - 0
loss - 2
lost - 8
lot - 41
lots - 2
louder - 0
love - 18
loved - 0
lovely - 0
loves - 2
loving - 2
low - 5
lower - 2
lowest - 2
loyalty - 0
ltd - 0
lubbocks - 2
lustful - 0
luxuries - 2
luxuriously - 0
luxury - 4
lycians - 0
lycophron - 0
lycophrons - 0
lycurgus - 6
lydgate - 0
lydian - 4
lygdamis - 0
lying - 0
lyre - 3
lysander - 3
m - 5
macedon - 0
macedonia - 0
machine - 2
machinery - 3
machines - 3
made - 88
magisterial - 0
magistracies - 3
magistracy - 6
magistrate - 31
magistrates - 132
magnesians - 0
magnetians - 0
magnificent - 0
magnitude - 0
maimed - 0
main - 0
mainly - 2
maintain - 4
maintained - 0
maintaining - 0
maintenance - 0
major - 0
majority - 22
make - 132
makes - 31
making - 21
male - 7
males - 0
malice - 0
malienses - 2
man - 181
manage - 5
managed - 6
management - 28
managing - 3
mankind - 10
manned - 0
manner - 129
manners - 30
mans - 23
mantinea - 2
mantineans - 0
mantinsea - 0
manual - 2
manutius - 0
many - 260
mare - 0
mares - 0
mariners - 0
maritime - 5
mark - 2
marked - 5
market - 5
markets - 6
marks - 3
marriage - 10
marriages - 3
married - 0
marry - 5
marrying - 2
mars - 0
marshal - 0
marshes - 0
martial - 2
mason - 0
massalia - 0
massilia - 0
master - 56
masterly - 0
masters - 8
mastership - 0
match - 0
material - 0
materials - 4
matrimony - 3
matter - 25
matters - 6
maturity - 3
maxim - 5
maximum - 0
may - 408
me - 7
meal - 0
meals - 16
mean - 50
meander - 0
meaner - 0
meanest - 7
meaning - 0
meanness - 0
means - 97
meant - 2
meantime - 3
measure - 5
measured - 0
mechanic - 8
mechanical - 0
mechanics - 16
meddle - 0
medes - 4
median - 5
mediate - 0
medicine - 4
medicines - 0
medimns - 0
mediocrity - 0
medium - 15
mediums - 0
meet - 10
meeting - 2
meetings - 0
megacles - 0
megara - 5
melan - 0
melody - 4
member - 16
members - 27
membership - 4
men - 204
menatarms - 3
mens - 2
mention - 9
mentioned - 60
mentioning - 0
mentions - 3
mercenaries - 2
mercenary - 2
merchandise - 5
merchantibility - 0
merchants - 5
mere - 6
merely - 11
merit - 12
meritorious - 2
merits - 3
messenger - 2
messenian - 0
messenians - 2
met - 12
metallurgy - 0
metals - 0
metaphysica - 2
method - 30
methods - 12
michael - 2
midas - 0
middle - 19
middleaged - 0
middling - 2
midst - 0
might - 46
mild - 2
milder - 0
mildness - 0
milesian - 3
milesians - 0
miletus - 4
military - 27
milk - 2
mina - 0
minae - 3
mind - 33
minds - 3
mine - 8
minerva - 2
minister - 0
minority - 2
minos - 5
minute - 2
minutely - 2
mischief - 2
mischiefs - 0
misconception - 0
misconceptions - 0
miserably - 0
miseries - 0
misfortune - 2
misfortunes - 0
misled - 0
mismanagement - 0
missile - 0
mission - 4
mississippi - 0
mistake - 3
mistaken - 4
mistakenfor - 0
mistakes - 4
mistress - 3
mistresses - 0
misunderstanding - 0
mitchell - 0
mithridates - 0
mitylene - 4
mitylenians - 0
mix - 0
mixed - 10
mixing - 0
mixture - 7
mmahon - 0
mnasis - 2
mode - 21
model - 3
modelled - 0
moderate - 13
moderately - 3
moderation - 5
modern - 5
modes - 8
modesty - 6
modification - 0
modified - 0
molestation - 0
molossi - 0
molossus - 0
moment - 4
monarch - 6
monarchical - 5
monarchies - 14
monarchs - 3
monarchy - 16
money - 68
moneygetting - 11
moneylover - 0
moneymaking - 2
monopolise - 0
monopolising - 0
monopoly - 3
month - 0
months - 3
moore - 2
moral - 12
moralist - 0
morals - 15
more - 202
moreover - 32
morleys - 0
mortar - 0
mortarmaker - 0
most - 190
mostly - 0
mother - 4
mothers - 6
motion - 0
motions - 2
motive - 3
motives - 0
mouth - 2
move - 0
moved - 0
much - 115
muchfor - 0
mulcts - 0
multiply - 0
multitude - 24
murder - 6
murders - 5
murmuring - 0
music - 60
musician - 0
musicians - 3
musics - 0
musseus - 0
must - 203
muster - 0
mutual - 22
mutually - 5
my - 16
myrons - 0
mythologists - 0
n - 0
nakedness - 0
name - 21
named - 0
namely - 36
names - 3
nation - 7
national - 0
nations - 15
native - 2
natives - 0
natter - 0
nattered - 0
natural - 35
naturalia - 2
naturalists - 2
naturally - 31
nature - 165
natureand - 0
natures - 2
naval - 5
navigable - 0
navy - 0
naxus - 0
nay - 15
nd - 0
near - 24
nearer - 2
nearest - 4
nearly - 34
necessaries - 7
necessarily - 62
necessary - 226
necessities - 2
necessity - 18
need - 4
needful - 0
needless - 0
needs - 2
neglect - 11
neglected - 5
neglecting - 0
neglects - 0
negligence - 2
negligent - 2
negligently - 0
neighbour - 3
neighbourhood - 2
neighbouring - 6
neighbours - 11
neither - 52
nephew - 2
network - 0
never - 40
neverfailing - 0
nevertheless - 2
new - 23
newby - 0
newsletter - 0
next - 35
nice - 0
nicomachean - 4
nicomachus - 0
night - 0
nightguard - 0
nightwatch - 0
ninety - 0
no - 254
nobility - 5
noble - 26
nobler - 2
nobles - 29
noblest - 2
nominally - 0
non - 0
nonattendance - 0
none - 23
nonproprietary - 0
nor - 133
normal - 0
north - 4
northern - 0
nose - 3
not - 918
notaries - 0
note - 6
notes - 5
nothing - 84
notians - 0
notice - 8
noticed - 2
notifies - 0
notion - 4
notions - 4
notorious - 0
notreasoning - 2
notwithstanding - 0
nourishment - 2
novelties - 0
now - 199
number - 99
numbers - 26
numberthus - 0
numerical - 0
numerous - 14
nuptial - 2
o - 3
oath - 2
oaths - 2
obedience - 6
obedient - 2
obey - 21
obeyed - 2
obeying - 2
obeys - 3
object - 50
objected - 2
objection - 4
objections - 4
objects - 20
oblige - 3
obliged - 31
obliges - 3
obliging - 0
oboli - 0
obscene - 0
obscure - 2
observation - 0
observations - 0
observe - 6
observed - 14
observes - 0
obsolete - 2
obstinacy - 0
obtain - 10
obtained - 3
obtaining - 2
obvious - 0
obviously - 0
occasion - 35
occasionally - 2
occasioned - 2
occasions - 6
occupations - 3
occur - 0
occurred - 0
occurrences - 0
occurs - 2
ocean - 0
october - 0
odium - 2
oeconomica - 0
oenophyta - 0
of - 4113
off - 9
offence - 0
offend - 0
offended - 3
offenders - 0
offensive - 2
offer - 4
offers - 2
office - 63
officer - 2
officers - 22
offices - 47
official - 3
officials - 0
offspring - 5
often - 45
oftener - 2
oftenest - 0
oftentimes - 0
ogle - 2
oil - 2
old - 22
older - 2
oldest - 0
oligarchic - 5
oligarchical - 5
oligarchies - 41
oligarchs - 2
oligarchy - 179
olives - 0
olympic - 3
olympus - 0
omen - 0
omission - 0
omit - 2
omitted - 2
omitting - 0
on - 230
once - 20
one - 700
oneandtwenty - 0
ones - 27
onethe - 0
online - 4
only - 243
onomacritus - 3
onomarchus - 0
open - 10
openly - 2
opici - 0
opinion - 16
opinions - 5
opportunities - 3
opportunity - 11
oppose - 7
opposed - 5
opposing - 0
opposite - 9
opposition - 3
oppress - 0
oppressed - 3
oppressing - 0
oppression - 0
option - 0
opus - 0
or - 791
oracle - 4
orae - 0
oratory - 0
orchards - 0
order - 25
ordered - 8
ordering - 4
orders - 8
ordinarily - 0
ordinary - 6
organic - 0
organisation - 2
organized - 0
organon - 2
origin - 5
original - 11
originally - 8
originals - 0
originates - 2
originator - 0
ornament - 5
ornamented - 0
ornaments - 2
orphans - 0
orthagoras - 0
orus - 0
ostensibly - 0
ostracise - 0
ostracism - 7
other - 456
others - 276
otherwise - 12
ought - 257
our - 62
ourselves - 3
out - 116
outdated - 0
outlines - 0
outside - 3
outward - 4
over - 86
overbalance - 0
overbearing - 0
overcharged - 0
overcome - 0
overgreedy - 0
overlook - 2
overlooked - 0
overlooking - 0
overpower - 0
overpowered - 0
overseers - 0
overthrew - 0
overthrown - 2
overturn - 2
overturned - 0
overwhelmed - 0
owe - 4
owed - 0
owen - 0
owes - 0
owing - 18
own - 102
owner - 7
owns - 2
ox - 2
oxen - 0
oxylus - 0
p - 2
paches - 0
page - 2
pages - 0
paid - 19
pain - 5
painful - 3
pains - 0
painter - 2
painting - 5
paintings - 2
palms - 0
panaetius - 0
panian - 0
pansetius - 0
paper - 0
paperwork - 0
papyrus - 0
paragraph - 11
paragraphs - 3
paramount - 0
paraphrase - 0
pardon - 0
pardoning - 3
parent - 2
parents - 7
pargiter - 0
parians - 0
parish - 0
paros - 0
part - 152
partake - 30
partakers - 0
partakes - 5
partaking - 0
partheniae - 0
partiality - 0
partibus - 0
participation - 0
particle - 2
particular - 119
particularity - 0
particularly - 46
particulars - 54
particularsfor - 0
parties - 15
partly - 12
partook - 0
parts - 97
party - 27
partys - 0
parva - 2
pass - 11
passage - 0
passed - 7
passengers - 2
passim - 0
passing - 2
passion - 13
passions - 6
past - 5
pasturage - 0
paternal - 2
pathetic - 2
paths - 0
patience - 2
patient - 0
patients - 0
patrimony - 2
patriot - 0
patriotism - 0
patron - 0
pattern - 2
pausanias - 4
pausaniass - 0
pauso - 0
pave - 0
pay - 16
paying - 7
payments - 3
pays - 3
peace - 19
peculiar - 13
peculiarly - 3
pecuniary - 0
pederasty - 0
pediaci - 0
peloponnesus - 2
penalties - 0
penalty - 2
penestise - 0
penestse - 0
penthelidee - 0
penthilus - 0
people - 259
peoples - 0
perceive - 14
perceived - 0
perceiving - 2
perception - 4
perceptions - 0
perfect - 41
perfection - 11
perfectly - 5
perform - 9
performance - 0
performances - 0
performed - 4
performers - 0
performing - 4
perhaps - 0
periander - 7
perianders - 2
pericles - 2
peril - 0
period - 4
periodic - 0
periods - 4
perish - 0
perishing - 0
perjure - 0
perjury - 4
permanence - 0
permanent - 0
permission - 8
permit - 15
permits - 2
permitted - 19
permitting - 5
perpetual - 3
perpetually - 6
perrabeans - 0
persecute - 0
persevere - 0
persia - 2
persians - 4
person - 120
personal - 0
persons - 180
persuade - 2
persuaded - 5
persuasion - 0
pervades - 0
perverse - 0
perversions - 4
perverted - 4
peters - 0
pg - 0
pglaf - 0
phalanx - 0
phalaris - 0
phaleas - 5
phaleass - 0
pharsalia - 0
pharsalus - 0
phases - 0
phiditia - 0
phidon - 2
philarchi - 0
philip - 0
philolaus - 6
philosopher - 3
philosophers - 9
philosophic - 0
philosophical - 0
philosophically - 0
philosophy - 9
philoxenus - 0
phocea - 2
phoceans - 0
phocis - 0
phocylides - 0
phrase - 4
phreattae - 0
phrygian - 8
phrynichus - 0
physic - 4
physica - 0
physical - 2
physician - 11
physicians - 6
physiognomy - 0
picture - 0
pictures - 4
piece - 0
pieces - 4
pillaged - 0
pillory - 0
pilot - 2
pine - 0
piraeus - 0
pireus - 0
pisistradidae - 0
pisistratidae - 2
pisistratus - 5
pittacus - 4
pity - 0
placd - 0
place - 105
placed - 17
places - 23
placing - 2
plain - 16
plainly - 3
plan - 14
planned - 0
planning - 0
plans - 2
planted - 2
planters - 0
planting - 0
plants - 4
plato - 25
platonic - 0
platos - 10
play - 26
played - 3
player - 3
playing - 2
plays - 0
plead - 0
pleasant - 3
please - 11
pleased - 3
pleases - 5
pleasing - 5
pleasure - 33
pleasures - 11
pledge - 0
plenty - 8
plot - 2
plots - 3
plotting - 2
plough - 0
plunder - 2
plunderer - 0
pocket - 0
poem - 2
poems - 0
poet - 3
poetic - 0
poetica - 7
poetics - 0
poetry - 4
poets - 6
point - 23
pointed - 0
points - 9
polemarch - 0
policy - 3
politic - 0
politica - 3
political - 58
politically - 0
politician - 13
politicians - 3
politics - 25
polity - 9
polycrates - 0
polygnotus - 0
pomp - 0
pontus - 3
poor - 100
poorer - 2
poorest - 3
populace - 5
popular - 16
population - 2
populous - 2
populousness - 0
porphyrys - 2
port - 0
portion - 3
portions - 2
position - 10
positive - 0
positively - 0
possess - 33
possessed - 10
possesses - 4
possessing - 3
possession - 11
possessions - 16
possessor - 0
possibilities - 2
possibility - 3
possible - 53
possibly - 5
poste - 3
posted - 5
posterior - 0
posting - 0
potagogides - 0
potter - 2
pouring - 0
poverty - 11
power - 320
powerful - 26
powerfully - 0
powers - 24
practicable - 0
practical - 12
practically - 0
practice - 26
practices - 0
practise - 5
practised - 7
practises - 0
practising - 0
praised - 0
praiseworthy - 0
praising - 0
prantl - 0
preadvisers - 8
precedence - 0
precedes - 2
preceptor - 0
preceptors - 3
precepts - 2
preconception - 0
predicament - 0
preeminence - 2
preface - 0
prefer - 9
preferable - 7
preference - 5
preferred - 5
prefers - 0
premised - 0
prepare - 3
prepared - 3
prepense - 0
preponderating - 0
prescribe - 2
prescribed - 2
prescribes - 0
present - 33
presented - 2
presents - 3
preservation - 19
preserve - 22
preserved - 21
preserves - 3
preserving - 6
preside - 4
presided - 0
presides - 0
presiding - 0
pretences - 4
pretend - 0
pretended - 0
pretension - 2
pretensions - 2
pretext - 0
prevail - 6
prevailed - 0
prevailing - 0
prevails - 12
prevent - 37
prevented - 7
preventing - 0
prevents - 8
previous - 0
prey - 0
preying - 0
price - 2
pride - 0
priest - 0
priesthood - 3
priests - 8
primarily - 0
primary - 0
primitive - 0
principal - 21
principally - 3
principle - 44
principles - 32
print - 0
printed - 2
prior - 3
